region,division,state,birth,death
NE,NEWENGL,ME,13,5.6
NE,NEWENGL,NH,14.3,5.9
NE,NEWENGL,VT,13.5,7.2
NE,NEWENGL,MA,14.6,6.5
NE,NEWENGL,RI,14.5,7.4
NE,NEWENGL,CT,14.5,7.6
NE,MIDATL,NY,15.9,8.8
NE,MIDATL,NJ,15.3,8.4
NE,MIDATL,PA,13.7,9
MW,ENC,OH,14.7,9.4
MW,ENC,IN,14.9,9.4
MW,ENC,IL,16.5,10.1
MW,ENC,MI,15.3,10.2
MW,ENC,WI,14.2,7.2
MW,WNC,MN,14.7,7.1
MW,WNC,IA,13.7,8
MW,WNC,MO,14.7,8.5
MW,WNC,ND,13.9,7.8
MW,WNC,SD,15.6,9.3
MW,WNC,NE,14.6,7.4
MW,WNC,KS,15.1,8.7
S,SATL,DE,15.4,8.6
S,SATL,MD,15.8,9.8
S,SATL,DC,18.7,19.6
S,SATL,VA,15.2,9.5
S,SATL,WV,12.3,9.2
S,SATL,NC,15.2,10
S,SATL,SC,15.6,10.4
S,SATL,GA,16.4,10.3
S,SATL,FL,14.2,8.8
S,ESC,KY,14.3,8.3
S,ESC,TN,14.6,9.4
S,ESC,AL,15,10.5
S,ESC,MS,16.3,11.9
S,WSC,AR,14.5,10.3
S,WSC,LA,16.5,9.4
S,WSC,OK,14.8,8.8
S,WSC,TX,18.1,7.8
W,MTN,MT,14,7.5
W,MTN,ID,16.3,8.8
W,MTN,WY,14.5,8.9
W,MTN,CO,15.7,7.6
W,MTN,NM,17.7,7.6
W,MTN,AZ,18,8.4
W,MTN,UT,20.5,5.9
W,MTN,NV,16.7,6.7
W,PAC,WA,15.4,6.8
W,PAC,OR,14.1,7.1
W,PAC,CA,19.5,7
W,PAC,AK,20,8.6
W,PAC,HI,17.2,6.3
